Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Wei An|None!!!Cascading Failures on Reliability in Cyber-Physical System
Wei Ao|Chongqing University!!!Adaptive cyber-physical system attack detection and reconstruction with application to power systems
Kang Liang|None!!!A Probabilistic Top-N algorithm for mobile applications recommendation
Liu Chang|Dalian Maritime University!!!Study of AIS application for Vessel Traffic Service
Yi Chengqi|None!!!Mitigation strategy against cascading failures on social networks
Liang-Jie Zhang|None!!!RaaS - Ranking as a Service*@*Influence Analysis Based Expert Finding Model and Its Applications in Enterprise Social Network*@*On Developing and Deploying Large-File Upload Services of Personal Cloud Storage*@*A Ranking-Oriented Hybrid Approach to QoS-Aware Web Service Recommendation
Tianyu Liu|None!!!A crowd-based route recommendation system-CrowdPlanner
Zhaobin Liu|None!!!Privacy Preservation in Social Network against Public Neighborhood Attacks
Xiaojie Zheng|None!!!Cloudlet-Assisted Heuristic Offloading for Mobile Interactive Applications*@*Cloudlet-Assisted Heuristic Offloading for Mobile Interactive Applications
Xiong Wang|Shanghai Jiao Tong University!!!Incentivize Multi-Class Crowd Labeling Under Budget Constraint
Zexu Wu|None!!!SaaAS - The mobile agent based service for cloud computing in internet environment
Weixing Ji|None!!!Rapidly Generate and Visualize the Digest of Massive Time Series Data
Chao Zhou|None!!!A Heuristic Recommendation Method Based on Contextual Social Network
Zhang Jiajin|Yunnan Agricultural University!!!A social networks integrated sensor platform for precision agriculture
Yuan Feng|None!!!CCSA: A Cloud Computing Service Architecture for Sensor Networks
Yu-Yue Mao|None!!!Application and Research of Mobile Terminal with Android in the Equipment Monitoring System
Xue-jing Kang|Tianjin University of Technology!!!A kind of service-aware computing method for Web-based mobile application with uncertainty*@*A kind of service-aware computing method for Web-based mobile application with uncertainty
Junwei Zhou|Wuhan University of Technology!!!Secure Index for Resource-Constraint Mobile Devices in Cloud Computing*@*An Efficient File Hierarchy Attribute-Based Encryption Scheme in Cloud Computing
Lin Kai|None!!!SCM: A Design and Implementation of Monitoring System for CloudStack
Wangyang Shi|None!!!The Study of Application of Multi-label Classification Methods to Type Selection of Mobile Base-Station
Ling Lin|Beijing University of Posts and Telecommunications!!!Identifying vulnerable friends on a social networking site
Shoubin Dong|South China University of Technology!!!A Complex Virtual Screening Computing Platform Based on SOA*@*A Multi-Objective Optimization Scheduling Method Based on the Ant Colony Algorithm in Cloud Computing
Ke-Chiun Chang|Wuhan University!!!A study of influencing factors of patent value based on social network analysis
Yang Xu|None!!!A Study of Rural Information and Service Sharing Platform Based on Cloud Computing Technology
Zhang Neng|None!!!An Approach for Value as a Service Discovery on Scientific Papers Big Data
Feng Fei|Soochow University!!!A model for vehicular Cyber-Physical System based on extended hybrid automaton
Yingrui Zhang|Peking University!!!To enable stable medical image and video transmission in mobile healthcare services: A Best-fit Carrier Dial-up (BCD) algorithm for GBR-oriented applications in LTE-A networks*@*WE-CARE: An Intelligent Mobile Telecardiology System to Enable mHealth Applications
Jianguo Li|None!!!Contructing Authentication Web in Cloud Computing
Jianlin Xu|Tsinghua University!!!MobSafe: cloud computing based forensic analysis for massive mobile applications using data mining
Yong Peng|None!!!An Analysis of Cyber Physical System Security Theories*@*Security Analysis on Cyber-physical System Using Attack Tree*@*Analysis of security threats and vulnerability for cyber-physical systems*@*Cyber-physical System Risk Assessment*@*Cyber-Physical Systems Testbed Based on Cloud Computing and Software Defined Network*@*Cyber-Physical Attack-Oriented Industrial Control Systems (ICS) Modeling, Analysis and Experiment Environment*@*The Design of ICS Testbed Based on Emulation, Physical, and Simulation (EPS-ICS Testbed)
Lei Xiaojiang|Beijing University of Posts and Telecommunications!!!The design and implementation of resource monitoring for cloud computing service platform
Yuncheng Wu|Renmin University of China!!!MagiCrowd: A crowd based incentive for location-aware crowd sensing
Woogeun Rhee|Tsinghua University!!!A 0.65V 1.2mW 2.4GHz/400MHz dual-mode phase modulator for mobile healthcare applications
Min Wu|Central South University!!!Modeling of Research Topic Evolution Associated with Social Networks of Researchers*@*The application of multi-objective differential evolution algorithm in the combustion process of coke oven
Renfa Li|Hunan University!!!On the Complexity of Authorization of Temporal RBAC in Cloud Computing Service*@*Security-aware signal packing algorithm for CAN-based automotive cyber-physical systems*@*Energy-Aware Processor Merging Algorithms for Deadline Constrained Parallel Applications in Heterogeneous Cloud Computing
Renyu Yang|Renyu Yang is with Beihang University!!!Reliable Computing Service in Massive-scale Systems Through Rapid Low-cost Failover
Liyuan Tian|None!!!MOOC for Medical Big Data Research: An Important Role in Hypertension Big Data Research
Huaqing Li|None!!!Cloud Computing Service: The Caseof Large Matrix Determinant Computation*@*Cloud Computing Service: The Caseof Large Matrix Determinant Computation
Hong-Bin Zhang|None!!!Research on Resource Allocation Scheme Based on Access Control in Cloud Computing Environment
Yipeng Feng|None!!!Collaborative QoS Prediction via Feedback-Based Trust Model
Hua Xu|None!!!Cloudlet-Assisted Heuristic Offloading for Mobile Interactive Applications*@*Cloudlet-Assisted Heuristic Offloading for Mobile Interactive Applications
Yong Ren|Tsinghua University!!!The value strength aided information diffusion in online social networks*@*Trustable service rating in social networks: A peer prediction method
Qingming Huang|None!!!Abnormal event detection in crowded scenes based on Structural Multi-scale Motion Interrelated Patterns*@*Exploring Coherent Motion Patterns via Structured Trajectory Learning for Crowd Mood Modeling*@*Social Attribute-Aware Force Model: Exploiting Richness of Interaction for Abnormal Crowd Detection
Yanxi Liu|Beihang University!!!Achieving Flexible and Self-Contained Data Protection in Cloud Computing
Niu Xinxin|None!!!Improving security and efciency for encrypted data sharing in online social networks
Bao Yuanyuan|None!!!Mitigation strategy against cascading failures on social networks
Chengze Li|Beijing University of Posts and Telecommunications!!!A distributed task scheduling strategy for massive mobile application security detection*@*Defect trigger model: Analysis method of mobile application defect*@*Research on the security model of mobile application
Li Yongfu|College of Automation of Chongqing University!!!A service-oriented architecture for the transportation Cyber-Physical Systems
Xu Wei|None!!!Mobile Application Used in Museum Learning and Its Case Study
Wang Wenjia|Southeast University!!!Dynamical evolution of an internet social network: A case study on an event of protecting plane trees in Nanjing, China
Zhixiang Fang|Wuhan University!!!Multi-objective ant colony optimization model for emergency evacuation
Chen Xu|North China Electric Power University!!!Social Network-Based Content Delivery in Device-to-Device Underlay Cellular Networks Using Matching Theory
Jiaying Cheng|None!!!Explore Social Question and Answer System Based on Relationships in Social Network
Kang Yu|None!!!A Predictive Runtime Verification Framework for Cyber-Physical Systems
Yutian Liu|Shandong University!!!Efficient Eigen-Analysis for Large Delayed Cyber-Physical Power System Using Explicit Infinitesimal Generator Discretization*@*Enabling Highly Efficient Spectral Discretization-Based Eigen-Analysis Methods by Kronecker Product*@*Calculation of Critical Oscillation Modes for Large Delayed Cyber-Physical Power System Using Pseudo-Spectral Discretization of Solution Operator*@*Comparison of three stability analysis methods for delayed cyber-physical power system
Tingjie Lv|None!!!Research on multi-source information service system architecture based on cloud computing
Jianhui Li|None!!!How to use open source data to assess infection disease risk: A framework and applications*@*How to use open source data to assess infection disease risk: A framework and applications*@*A service-oriented architecture for on-demand and dynamic ally reconfigurable computing
Rui Liu|None!!!PriWe: Recommendation for Privacy Settings of Mobile Apps Based on Crowdsourced Users' Expectations*@*PriWe: Recommendation for Privacy Settings of Mobile Apps Based on Crowdsourced Users' Expectations
Chengdong Liu|Peking University!!!Interactive crowdsourcing to spontaneous reporting of Adverse Drug Reactions
Li Zhong-kai|China University of Mining and Technology!!!An exploratory study of sorting particle swarm optimizer for multiobjective optimization
Huiying Chen|None!!!Enhanced Particles With Pseudolikelihoods for Three-Dimensional Tracking
Xiaolin Du|None!!!SGP: Sampling Big Social Network Based on Graph Partition
Xiang Wang|University of Electronic Science and Technology of China!!!ESD: An Energy Saving Data Delivery Scheme in Mobile Social Networks*@*Social-Aware Edge Caching in Fog Radio Access Networks*@*Contact-duration aware transmission scheduling in WiFi Direct enabled mobile social networks*@*A scalable gather point based data delivery scheme in mobile social networks*@*A Novel Approach to Mapped Correlation of ID for RFID Anti-Collision
Ning Ge|Tsinghua University!!!Social-Community-Aware Long-Range Link Establishment for Multihop D2D Communication Networks*@*Social community aware long-range link establishment for multi-hop D2D communication networks
Nannan Wu|None!!!ShutterRoller: Preserving Social Network Privacy towards High-Speed Domain Gateway*@*Prediction and Clustering of User Relationship in Social Network
Ning Gu|None!!!Intelligently Creating Contextual Tutorials for GUI Applications*@*Research on Mobile SVG Map Service Based on Java Mobile Phone*@*Intelligently Creating Contextual Tutorials for GUI Applications
Weiwei Jia|Shanghai Jiao Tong University!!!Author cooperation relationship in digital publishing based on social network analysis*@*SDSM: A secure data service mechanism in mobile cloud computing
Chuangen Gao|None!!!An Energy-Aware Ant Colony Algorithm for Network-Aware Virtual Machine Placement in Cloud Computing
Zheng-Chun Liu|None!!!Application of Virtual Reality Technology in the Maintenance Training System of Mobile Power Stations
Chunhua Zhang|South China University of Technology!!!A smart factory solution to hybrid production of multi-type products with reduced intelligence
Yao Liu|None!!!Fast Community Discovery and Its Evolution Tracking in Time-Evolving Social Networks
Ying Yuan|Zhejiang University!!!Communities Detection Algorithm Based on General Stochastic Block Model in Mobile Social Networks*@*Customer knowledge management and business model innovation: A case study on applications of mobile information system in rural China
Mingsong Chen|East China Normal University!!!Spatio-temporal Properties Analysis for Cyber-physical Systems*@*Extending the Four-Variable Model for Cyber-Physical Systems*@*Evaluating Energy Consumption for Cyber-Physical Energy System: An Environment Ontology-Based Approach*@*Sustainability-Oriented Evaluation and Optimization for MPSoC Task Allocation and Scheduling Under Thermal and Energy Variations
Chengkai Shi|None!!!Information Extraction for Computer Science Academic Rankings System
Tianchi Mo|None!!!Identifying Users' Interest Similarity Based on Clustering Hot Vertices in Social Networks*@*Identifying Users' Interest Similarity Based on Clustering Hot Vertices in Social Networks
D. Hughes|None!!!Towards a Unified Framework for Cyber-Physical Systems (CPS)
Sirui Yang|None!!!Manageable Granularity in Mobile Application Code Offloading for Energy Savings
Junwei Yu|Henan University of Technology!!!Key technology and application research on mobile augmented reality
Yingtao Sun|None!!!A Combinational QoS-Prediction Approach Based on RBF Neural Network
Han Yuan|None!!!A Distributed Link Prediction Algorithm Based on Clustering in Dynamic Social Networks
Seble Hailu Dady|None!!!Distributed privacy preserving matchmaking protocol based on dynamic interest level in mobile social networks
Fuchuan Wang|None!!!VPBS: A Velocity-Perception-Based SFM Approach for Crowd Simulation
Peilin Hong|University of Science and Technology of China!!!A Dynamic Secure Group Sharing Framework in Public Cloud Computing
Zhuohua Liu|None!!!Mobile Cloud Computing: Application scenarios and service models - Withdrawn*@*Mobile Cloud Computing: Application scenarios and service models - Withdrawn
Xiao Wu|None!!!A Load Scheduling Strategy for Electric Vehicles Charging System*@*A Scene-Driven Modeling Reconfigurable Hardware-in-Loop Simulation Environment for the Verification of an Autonomous CPS*@*A New Universal-Environment Adaptive Multi-processor Scheduler for Autonomous Cyber-Physical System
Shuo Xu|Shanghai University!!!Human-machine-environment cyber-physical system and hierarchical task planning to support independent living
Songsong Li|Renmin University of China!!!Rumor restriction in Online Social Networks*@*Influence maximization in social networks with user attitude modification
Cen Ye|None!!!Advanced Control Technologies in Cyber-physical System
Wenxiu Ding|Xidian University!!!Context-Aware Verifiable Cloud Computing
Qing Yao|Shandong University!!!A Framework for QoS-aware Web Service Composition in Pervasive Computing Environments
Qing Yan|Shanghai Jiao Tong University!!!Crowd instability analysis using velocity-field based social force model
Qi Liu|University of Science and Technology of China!!!Modeling the Evolution of Users’ Preferences and Social Links in Social Networking Services
Chaoqin Zhang|None!!!Balancing User Profile and Social Network Structure for Anchor Link Inferring Across Multiple Online Social Networks
Hong Zhang|None!!!The 5I Model of Smart City: A Case of Shanghai, china
Dong Wang|Tianjin University!!!A risk assessment method for cascading failure caused by electric cyber-physical system (ECPS)
Yao Shen|None!!!DirectedPush - A High Performance Peer-to-Peer Live Streaming System Using Network Coding
Fengmei Zhao|None!!!A Social Network Analysis of Online Collaborative Learning Aspects in an Online Course
Yi Zhang|Shanghai University!!!Study on application of mobile phone NFC technology in ERP system*@*The integration of CPS, CPSS, and ITS: A focus on data*@*Optimal Cloud Computing Resource Allocation for Demand Side Management in Smart Grid*@*Scheduling Stochastic Multi-stage Jobs on Elastic Computing Services in Hybrid Clouds*@*NetMaster: Taming Energy Devourers on Smartphones
Yue Ha|None!!!Summarizing Timelines Based on Content and Social Network
Deqing Zou|None!!!PerfDoc: Automatic Performance Bug Diagnosis in Production Cloud Computing Infrastructures*@*UaaS: Software Update as a Service for the IaaS Cloud
Ru Wang|School of Computer Science Northwestern Poly technical University!!!BER Analysis for Controller Area Network Impaired by the Impulse Noise in Cyber-Physical Systems*@*Modeling Effects of Physical Factors on Controller Area Network in Cyber-physical Systems*@*Delay-guaranteed scheduling strategy in cyber-physical systems: a game-theoretic approach*@*Propagation dynamics based on social contact probability on social network
Chenbo Fu|Zhejiang University of Technology!!!Social Synchrony on Complex Networks
Xiaohong Li|None!!!A Hierarchical Security-Auditing Methodology for Cloud Computing*@*Towards Trustworthy Participants in Social Participatory Networks*@*Formal Modeling and Verification of Security Protocols on Cloud Computing Systems Based on UML 2.3*@*A Study on the Dynamic Spatial-Temporal Trajectory Features of Pedestrian Small Group
Chengzhe Lai|Xi’an University of Posts and Telecommunications!!!Optimal Workload Allocation in Fog-Cloud Computing Toward Balanced Delay and Power Consumption
Chang Xiaomeng|None!!!Estimating the Distribution of Economy Activity: A Case Study in Jiangsu Province (China) Using Large Scale Social Network Data
Dongqing Chen|None!!!Cyber-Physical Attack-Oriented Industrial Control Systems (ICS) Modeling, Analysis and Experiment Environment
Junjie Yang|Shanghai University of Electric Power!!!Decentralized multigrid for in-situ big data computing*@*ScorePlus: An integrated scalable cyber-physical experiment environment for Smart Grid
Gang Yin|National University of Defense Technology!!!Ranking open source software based on crowd wisdom*@*Who Should Review this Pull-Request: Reviewer Recommendation to Expedite Crowd Collaboration
Jun Yao|None!!!A High-Confidence Cyber-Physical Alarm System: Design and Implementation*@*Net-in-Net: Interaction Modeling for Smart Community Cyber-Physical System
Chen Lichang|Yunnan Agricultural University!!!A social networks integrated sensor platform for precision agriculture
Minqi Zhou|East China Normal University!!!Services in the Cloud Computing era: A survey
Liri Fang|Renmin University of China!!!Blockchain-based trusted computing in social network
Wenhuan Wang|None!!!Comparative Analysis and Application on Mobile-Heating Technology of Regenerative Energy
Changying Du|None!!!Detect Similar Mobile Applications with Transfer Learning
Xinyu Wang|Zhejiang University!!!Text Sentiment Analysis Algorithm Optimization and Platform Development in Social Network*@*An Improved Model for Depression Detection in Micro-Blog Social Network*@*Network-Aware QoS Prediction for Service Composition Using Geolocation
Peng Shi|None!!!A Method for Information Source Locating with Incomplete Observation of Online Social Network*@*Looking for Information Source from Online Social Network with Incomplete Observation
Hong Xu|None!!!Research on the impact of social network service on tourists purchase intention
Wenyi Qian|Fudan University!!!MobiGoal: Flexible Achievement of Personal Goals for Mobile Users
Ruiyun Yu|Northeastern University!!!Multi-label classification methods for green computing and application for mobile medical recommendations*@*Application recommendation at places for mobile users
Xiaolu Zhu|None!!!Learning Transportation Annotated Mobility Profiles from GPS Data for Context-Aware Mobile Services
Hao Shi|Beijing University of Posts and Telecommunications!!!An optimal infrastructure design method of cloud computing services from the BDIM perspective
Minting Wang|None!!!Research & implementation of uCLinux-based embedded browser
Leo Yi|None!!!One Solution to Improve the Confidentiality of Customer's Private Business Data in SaaS Model
Guochu Shou|Beijing University of Posts and Telecommunications!!!QoE analysis of NFV-based mobile edge computing video application*@*Mobile Edge Computing: Progress and Challenges
Li Chen|None!!!Detecting Crowdsourcing Click Fraud in Search Advertising Based on Clustering Analysis*@*Detecting Crowdsourcing Click Fraud in Search Advertising Based on Clustering Analysis
Lelin Zhang|Shanghai Jiao Tong University!!!Graph Theory Application in Cell Nuleus Segmentation, Tracking and Identification
Peng Chen|Southeast University!!!Virtual Phase Shifter Array and Its Application on Ku Band Mobile Satellite Reception*@*Small-Size Reconfigurable Loop Antenna for Mobile Phone Applications
Shanshan He|None!!!Anomaly Detection Model Based on Hadoop Platform and Weka Interface*@*Multi-layer Anomaly Detection for Internet Traffic Based on Data Mining
Tongyu Zhu|None!!!A Distributed Location Based Service Framework of Ubiquitous Computing
Jizhen Long|Changsha University of Science & Technology!!!Complexity scalable intra-prediction mode decision algorithm for mobile video applications
Chen Hou|Tsinghua University!!!Stopping-Time Management of Smart Sensing Nodes Based on Tradeoffs Between Accuracy and Power Consumption
Sheng Su|None!!!A Framework for Implementing and Managing Platform as a Service in a Virtual Cloud Computing Lab
Shuzhen Wang|None!!!Mobile Commerce Trust Model and its Application for Third Party Trust Service Platform
Yuan Qi|None!!!Stability of Power Control in Multiple Coexisting Wireless Networks: An \mathscr {L}_{2}\mathscr {L}_{2} Small-Gain Perspective
Mengya Li|Southeast University!!!A framework of theoretical research on load control in grid cyber physical system*@*Challenge and evolution of cyber attacks in Cyber Physical Power System
Yingjie He|Beijing University of Posts and Telecommunications!!!Research and implementation of load balancing algorithm for mass mobile application detection task
Shuo Qi|None!!!Three-staged cloud computing service supply chain coordination by combined contract
Gong Xiong|None!!!Modeling and Simulating CAN-Based Cyber-Physical Systems in Modelica
Pan Hui|None!!!Social-Aware Peer Discovery for D2D Communications Underlaying Cellular Networks
Wanqi Huang|Shanghai Jiao Tong University!!!Enabling plug-and-play software components in industrial cyber-physical systems by adopting service-oriented architecture paradigm*@*Knowledge-driven service orchestration engine for flexible information acquisition in industrial cyber-physical systems
Xuguang Zhang|None!!!A Hybrid Simulation of Large Crowd Evacuation
Liao Zihao|None!!!Energy Consumption Analysis Method of CPS Software Based on Architecture Modeling
Wu Huai-Guang|Wuhan University!!!Bigraphical model of service composition in ubiquitous computing environments
Yu Yongyang|None!!!Research on LBS Impact on College Students' Travel Experience
Yuzhong Chen|None!!!Modeling Community Influence in Social Networks with Markov Chains*@*A Hierarchical Multi-label Propagation Algorithm for Overlapping Community Discovery in Social Networks
Ruiqiang Liu|Peking University!!!A Single-Chip CMOS UHF RFID Reader Transceiver for Chinese Mobile Applications
Pei-Ming Chen|National Kaohsiung University of Applied Sciences!!!A study of chain hotel service factors and market segmentation for mobile commerce customers: Using mobile application services as an example
Hao Lu|None!!!Optimal Pricing of Multi-model Hybrid System for PaaS Cloud Computing
Li Wan|Chongqing University!!!OMI-DL: An Ontology Matching Framework
Xinwei Yan|Tsinghua University!!!Exploiting user's social network: A novel method to recommend most attractive and targeted service
Shan Li|None!!!Knowledge Recommender: An Application Based on the Social Knowledge Network for Knowledge Recommendation*@*Development and Application of Intelligent Tour Guide System in Mobile Terminal
Gaogang Xie|None!!!Bloom-Filter-Based Profile Matching for Proximity-Based Mobile Social Networking
Ji Hou|None!!!Self-Adaptive Cloud Pricing Strategies with Markov Prediction and Data Mining Method
Xiaojuan Wu|Shandong University!!!A new approach of crowd density estimation
Hao Li|Communication University of China!!!Research on the Application of Mobile Learning System for the New Generation of Migrant Workers*@*A Service Level Agreement for the Resource Transaction Risk Based on Cloud Bank Model*@*Cyber-physical failure detection system: Survey and implementation*@*Demo Abstract: Monitoring Wide-Area Nature Reserves Based on Long-Distance Wireless Mesh Networks*@*Character-based online key management in cloud computing environment*@*A service level agreement framework of cloud computing based on the Cloud Bank model*@*A research of resource provider-oriented pricing mechanism based on game theory in Cloud Bank model
Renyou Mei|None!!!General Medical Information Management System Design Based on Cloud Computing
H. S. Li|None!!!Non-dominated sorting differential evolution algorithm for multi-objective optimal integrated generation bidding and scheduling
Liang Zhao|Dalian University of Technology!!!Local Similarity Imputation Based on Fast Clustering for Incomplete Data in Cyber-Physical Systems
Libin Yang|None!!!Research on Fault Diagnosis of Photovoltaic Power Generation System Based on Cloud Computing Data
Changjun Hu|University of Science and Technology!!!A survey of semantic similarity and its application to social network analysis
Wanhua Li|None!!!A Hierarchical Multi-label Propagation Algorithm for Overlapping Community Discovery in Social Networks
C.L. Yeung|The Hong Kong Polytechnic University!!!Research on IoT based Cyber Physical System for Industrial big data Analytics
Hong Zhu|None!!!Secure Shortest Path Search over Encrypted Graph Supporting Synonym Query in Cloud Computing
Chang Liang Xing|None!!!Connectivity as a Service: Outsourcing Enterprise Connectivity over Cloud Computing Environment
Shaoyong Guo|None!!!Multi-devices composition and maintenance mechanism in mobile social network
Qiang Wang|BeiHang University!!!Discrete Hybrid Automata for Safe Cyber-physical System: An Astronautic Case Study*@*Behavior Modeling of Cyber-physical System Based on Discrete Hybrid Automata*@*Mapping smart tourism research in China: A semantic and social network analysis using CiteSpace
Zhihui Du|None!!!Robot as a Service in Cloud Computing
Shaoliang Shi|Guilin University of Electronic Technology!!!Adding the sentiment attribute of nodes to improve link prediction in social network
Xue Yuemei|None!!!A Study on Online Social Networks Theme Semantic Computing Model
Xiaohui Duan|Peking University!!!Interactive crowdsourcing to spontaneous reporting of Adverse Drug Reactions*@*To enable stable medical image and video transmission in mobile healthcare services: A Best-fit Carrier Dial-up (BCD) algorithm for GBR-oriented applications in LTE-A networks
Jian Sun|None!!!Optimal data integrity attack on actuators in Cyber-Physical Systems*@*Optimal switching integrity attacks in cyber-physical systems
Niu Jizhen|None!!!Design and Realization of High-Reliability Courses Selection System Based on Mainframe
Mingdong Tang|Hunan University of Science and Technology!!!Web Service Customization Based on Service Feature Model*@*An Efficient Trust Propagation Scheme for Predicting Trustworthiness of Service Providers in Service-Oriented Social Networks*@*Mashup Service Classification and Recommendation Based on Similarity Computing*@*Correlation Search of Web Services*@*Mashup Service Recommendation Based on User Interest and Social Network*@*Location-Aware and Personalized Collaborative Filtering for Web Service Recommendation*@*Diversifying Web Service Recommendation Results via Exploring Service Usage History
Cheng-Zhong Xu|None!!!On Improving Constrained Single and Group Operator Placement Using Evictions in Big Data Environments
Xuhui Liu|Hunan University!!!Verifiable Ranked Search over dynamic encrypted data in cloud computing
Xudong Ni|None!!!On crowd-retweeting spamming campaign in social networks
Depeng Jin|Tsinghua University!!!Social-Aware Peer Discovery for D2D Communications Underlaying Cellular Networks*@*Co-location social networks: Linking the physical world and cyberspace
Yuming Mao|None!!!Predictive Offloading in Cloud-Driven Vehicles: Using Mobile-Edge Computing for a Promising Network Paradigm
Zhiyong Liu|None!!!Two-phase graph search algorithm for QoS-aware automatic service composition
Yanqing Gao|None!!!An Energy-Aware Ant Colony Algorithm for Network-Aware Virtual Machine Placement in Cloud Computing
Zhou Su|Shanghai University!!!Incentive Scheme for Cyber Physical Social Systems Based on User Behaviors*@*Incentive Scheme for Cyber Physical Social Systems Based on User Behaviors*@*Incentive Scheme for Cyber Physical Social Systems Based on User Behaviors*@*Epidemic Information Dissemination in Mobile Social Networks With Opportunistic Links*@*Analysis on Evolution and Topological Features of a Real Mobile Social Network*@*Graph Based Content Delivery in Mobile Social Networks*@*Epidemic Information Spreading over Mobile Social Networks with Multiple Social Relationships
Li Ye-jing|Soochow University!!!A model for vehicular Cyber-Physical System based on extended hybrid automaton
Shi Leyi|None!!!A Dynamic Trust Conference Algorithm for Social Network*@*Automatic Patching Based on Social Computing in P2P Network
Jinduo Ye|None!!!Research on remote sensing network control using cloud computing services
Li Xiaobo|None!!!The Design of Simulation Platform for Ad Hoc Based Cyber-Physical System
Shu Gong|Guangdong University Science and Technology!!!Study on database encryption-based protection mechanism under cloud computing environment
Teng Li|Anhui University!!!Crowded Scene Analysis: A Survey
Tao Liu|Zhejiang University!!!Research on pedestrian evacuation simulation based on fuzzy logic*@*Pipeline-Based Parallel Framework for Mass File Processing
Ronghua Li|None!!!Community Detection in Location-Based Social Networks: An Entropy-Based Approach
Tao Lin|Zhejiang University!!!Mobility Viewer: An Eulerian Approach for Studying Urban Crowd Flow
Benlian Xu|None!!!Trust Service Selection in Pervasive Computing
Meirong Xu|Shandong University!!!T-coloring of graphs with application to frequency assignment in cellular mobile networks
Zhenmei Liao|None!!!Detection of Abnormal Crowd Distribution
Kevin Kam Fung Yuen|None!!!Towards a Hybrid Approach of Primitive Cognitive Network Process and K-Means Clustering for Social Network Analysis
Jianda Han|None!!!RS-CPS: A distributed architecture of robotic surveillance cyber-physical system in the nature environment
Meng Qingxue|East China University of Science and Technology!!!The modeling and simulation of vehicle distance control based on cyber-physical system
Jiansheng Li|None!!!A cyber-physical architecture for industry 4.0-based power equipments detection system
Ya-Feng Liu|None!!!Time and Location Aware Mobile Data Pricing
Ruisheng Shi|None!!!Toward an Automated View Abstraction for Distributed Model-Driven Service Development*@*Efficient Sensor Placement Optimization for Early Detection of Contagious Outbreaks in Mobile Social Networks
Yunlei Zhang|Beijing University of Posts and Telecommunications!!!Finding community structure via rough K-means in social network
Zhiyang You|Tsinghua University!!!Formal modeling and verification of services managements for pervasive computing environment
Jingchuan Wang|Shanghai Jiao Tong University!!!Localizability estimation for mobile robots based on probabilistic grid map and its applications to localization
Weifan Zhang|None!!!Modeling Both Coarse-Grained and Fine-Grained Topics in Massive Text Data
Ruosong Yang|None!!!A Framework of Fine-Grained Mobile Sensing Data Collection and Behavior Analysis in an Energy-Configurable Way*@*A Framework of Fine-Grained Mobile Sensing Data Collection and Behavior Analysis in an Energy-Configurable Way
Fitriyah Hasny|None!!!Predicting the Quality of Web Services Based on User Stability
Tao Mei|None!!!Crowdsourced Learning to Photograph via Mobile Devices
Weiwei Chen|None!!!Dynamic Resource Allocation in Ad-Hoc Mobile Cloud Computing
Xiaoning Sun|None!!!Optimal Service Selection Based on Business for Cloud Computing
Aili Wang|University of Science and Technology of China!!!A Classroom Scheduling Service for Smart Classes
Xiaoheng Deng|Central South University!!!Credit Distribution for Influence Maximization in Online Social Networks with Time Constraint*@*Credit Distribution and influence maximization in online social networks using node features
Jingyong Liu|None!!!QoS Modeling for Cyber-Physical Systems Using Aspect-Oriented Approach*@*Aspect-Oriented MDA Development Method for Non-Functional Properties of Cyber Physical Systems
ZHANG Li|Beijing University of Technology!!!A Service Discovery Architecture based on Anycast in Pervasive Computing Environments
Yu-Bo Yang|None!!!A Distributed Multi-exemplar Affinity Propagation Clustering Algorithm Based on MapReduce
Zhongmin Yan|None!!!Multi-tenant Service Composition Based on Granularity Computing
Lei Wang|Nanjing University of Posts and Telecommunications!!!Light-Weight and Robust Security-Aware D2D-Assist Data Transmission Protocol for Mobile-Health Systems*@*Low redundant hop-counts for service composition optimization in dynamic network*@*Detecting collusive cheating in online shopping systems through characteristics of social networks*@*K-hop centrality metric for identifying influential spreaders in dynamic large-scale social networks
Chuan Wu|The University of Hong Kong!!!Strategies of collaboration in multi-swarm peer-to-peer content distribution*@*CloudMedia: When Cloud on Demand Meets Video on Demand*@*Strategies of Collaboration in Multi-Channel P2P VoD Streaming
Shan Zou|PLA University of Science & Technology!!!A byzantine attack defender for censoring-enabled cognitive radio networks
Cheng Zeng|Wuhan University!!!Fast Service Process Fragment Indexing and Ranking
Xin Zhe|None!!!Cloud computing and services platform construction of telecom operator
KeJing Zhang|School of Business and Management at DongHua University!!!Research on producer service innovation in home-textile industrial cluster based on cloud computing platform
Mingqing Huang|Shanghai University!!!Overlapping Community Detection in social network based on Microblog User Model
Qijuan He|None!!!An Enhanced Multiple-Mode penta-band Antenna (EMMA) for mobile applications with improved beside head and hand performance
Xin Gu|None!!!Trusted Service Application Framework on Mobile Network
Yongan Li|None!!!Radio and television operators cloud computing infrastructure research system
Feng Zhang|Tongji University!!!Contructing Authentication Web in Cloud Computing*@*Privacy Disclosure Identification in Social Networks*@*A Distributed Link Prediction Algorithm Based on Clustering in Dynamic Social Networks*@*Social relation extraction of large-scale logistics network based on mapreduce
Lianglun Cheng|None!!!An Efficient Context-Sensitive Service Composition Framework for Precise Controlling in Cyber-Physical Systems*@*A Two-Phase Context-Sensitive Service Composition Method with the Workflow Model in Cyber-Physical Systems
Lai Tu|None!!!Impact of Core Charging Station's Cease Operation in the Entire Charging Station System: A Case Study in Shenzhen
